train_loss,train_mae,epoch,step
0.2449997067451477,0.2449997067451477,0,49
0.18734464049339294,0.18734464049339294,0,99
0.1789381206035614,0.1789381206035614,0,149
0.14608514308929443,0.14608514308929443,0,199
0.14082293212413788,0.14082293212413788,0,249
0.15100432932376862,0.15100432932376862,0,299
0.19688530266284943,0.19688530266284943,0,349
0.14493319392204285,0.14493319392204285,0,399
0.18137750029563904,0.18137750029563904,0,449
0.19353516399860382,0.19353516399860382,0,499
0.13911812007427216,0.13911812007427216,0,549
0.14474722743034363,0.14474722743034363,0,599
0.16398386657238007,0.16398386657238007,0,649
0.11557720601558685,0.11557720601558685,0,699
0.13296322524547577,0.13296322524547577,0,749
0.13403479754924774,0.13403479754924774,0,799
0.16259098052978516,0.16259098052978516,0,849
0.13926109671592712,0.13926109671592712,0,899
0.16148005425930023,0.16148005425930023,0,949
0.13216260075569153,0.13216260075569153,0,999
0.2024136781692505,0.2024136781692505,0,1049
0.17082269489765167,0.17082269489765167,0,1099
0.10780040919780731,0.10780040919780731,0,1149
0.14650477468967438,0.14650477468967438,0,1199
0.1432815045118332,0.1432815045118332,0,1249
0.13754209876060486,0.13754209876060486,0,1299
0.12513035535812378,0.12513035535812378,0,1349
0.11527083814144135,0.11527083814144135,0,1399
0.14717936515808105,0.14717936515808105,0,1449
0.13957981765270233,0.13957981765270233,0,1499
0.13521724939346313,0.13521724939346313,0,1549
0.12976661324501038,0.12976661324501038,0,1599
0.14875465631484985,0.14875465631484985,0,1649
0.1683925837278366,0.1683925837278366,0,1699
0.12833258509635925,0.12833258509635925,0,1749
0.1347072571516037,0.1347072571516037,0,1799
0.10924714058637619,0.10924714058637619,0,1849
0.08909756690263748,0.08909756690263748,0,1899
0.12430901825428009,0.12430901825428009,0,1949
0.10567159950733185,0.10567159950733185,0,1999
0.16877906024456024,0.16877906024456024,0,2049
0.13698086142539978,0.13698086142539978,0,2099
0.19907024502754211,0.19907024502754211,0,2149
0.16619935631752014,0.16619935631752014,0,2199
0.07975135743618011,0.07975135743618011,0,2249
0.10668008029460907,0.10668008029460907,0,2299
0.11251159012317657,0.11251159012317657,0,2349
0.16090357303619385,0.16090357303619385,0,2399
0.13624964654445648,0.13624964654445648,0,2449
0.1156642958521843,0.1156642958521843,0,2499
0.09479722380638123,0.09479722380638123,0,2549
0.10501458495855331,0.10501458495855331,0,2599
0.1460122913122177,0.1460122913122177,0,2649
0.10347000509500504,0.10347000509500504,0,2699
0.0941266417503357,0.0941266417503357,0,2749
